Product cover Table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.PERSONAL ACCIDENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Domestic Help Support,"
(In the event the Insured person sustains an accidental injury resulting in Hospitalisation or Temporary or Permanent Disability, and is medically advised rest or restricted mobility, a fixed benefit shall be payable towards engaging domestic help for household support, childcare support, subject to the terms and conditions of the Policy)",5000,100000,New Addition - Extension of RFB Covers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. CRITICAL ILLNESS COVER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Basic Covers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sum Insured,SI Offered,1000,"50 Cr
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Critical Illness Cover,"Critical Illness Group
Plan1. Plan 2, Plan 3,Plan 4 and Plan 5 Plan 6 and Plan 7",Plan 1 to Plan 5 7,Option to choose SI- 1% to 100%,Discussion pending for separate CI Offering,Plan 6 & 7 is the new addition ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Initial waiting period,Initial waiting period,0 days,90 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Survival Period,Survival Period,0 days,90 days,Add PED Waiting Period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B. Optional Covers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Second E Opinion (optional),Available,Available,Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Medical Second Opinion,"A second opinion from network/Non network, for treatment of the listed/opted CI of the insured person",Available,Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
