Group Product - Employer Employee,,,,,,,
40,Restoration of SI,Provides SI for related and unrelated illnesses in addition to the base SI opted,Ability to choose - a)from first claim onwards b)from second claim onwards,"Choose any one category:
Category 1:
Up to base SI for related illness
Category 2:
Up to base is for unrelated illness","Choose from any of the options available in a policy year:
1. once
2.2 times
3.4 times
4.9 times
5.Unlimited times",Over & Above,
41,Corporate Buffer,"1. SI at the group/policy level
2. Choose from list-
a) Critical Illness
b) Non- Critical Illness
c) Any Illness/ Both",5000,1000 Lacs,"the cover can be limited by selecting any one option
1.Per Person Limit
2.Per policy floater limit(as a % of SI per policy year)",Over & Above,
44,Hormone Replacement Therapy,"Expenses covered towards HRT
Defined OPD benefit for approved clinical indications covering consults + investigations + optional prescribed HRT medicines within strict governance.",1000,5 Lacs,NA,Part Of Base SI,
45,Gender Reassignment Surgery,"Includes (but not limited to):
Female to Male: Urethroplasty, vaginectomy (with hysterectomy and oophorosalpingectomy), scrotoplasty, metoidioplasty/phalloplasty, mastectomy, facial hair implant, voice modulation surgery.
Male to Female: Clitoroplasty, labioplasty, orchiectomy and penectomy/scrotectomy, mammoplasty, facial feminization surgeries, facial hair removal/implant, voice modulation surgery, vaginoplasty.",50000,Upto 300 Lacs,NA,Part Of Base SI,
46,Smart Select Network,"* 15% discount on Premium with in Network Hospital
* Non Network - 20% co pay",Covered,NA,NA,NA,
48,Well mother Cover,"Insured Person who is less than 3 10 years of Age is Hospitalized in an ICU or a Neo-natal ICU or a Cardiac
Care Unit of a Hospital, then We will cover the Room Rent and other boarding expenses of the Insured
Person’s mother to stay with the Insured Person in the same Hospital
(Bystander Room)",500,50000,"Covered on Reimbursement Basis
Any one of the parent can be covered",Part Of Base SI,
50,Palliative Care,Coverage for palliative care treatments including emergency Hospital visits,Upto Base SI,300 Lacs,NA,Part Of Base SI,
51,Waiver of Exclusions Cover,"Covers waiver of below exclusions (Anyone or combination)
1.Waiver of Hazardous or Adventure sports exclusion
2.Waiver of exclusion of-attempted Suicide
3.Waiver of Biodegradable Stent exclusion
4.Waiver of Cochlear implants exclusion
5.Waiver of Contact Lens exclusion
6.Waiver of Investigation & Evaluation charges for Hospitalisation (without any active line of treatment)
7.Waiver of Continuous ambulatory peritoneal dialysis (C.A.P.D.) exclusion
8.Waiver for Reasonable and Customary Charges",Covered,Covered,NA,NA,
53,Proportionate Deduction Waiver,"The Insured Person will not bear the ratable proportion on Associate medical
expenses (Room Rent actually incurred and the entitled room category/eligible Room Rent to the Room Rent
actually incurred)",Waived Off,Waived Off,This waiver is available with In-patient Hospitalization Treatment,NA,
54,Pre-Post Natal Maternity Expenses,Pre-Post Natal Maternity Expenses to be covered,10000,Upto sum insured opted,"In multiples of 10,000
Option to choose:
a) Within maternity SI
b)Over and above maternity SI",Part Of Maternity SI,
56,External congenital Disease Cover,To be covered,Base SI,Base SI,"We will pay the Reasonable and Customary charges for the Medical Expenses of the Insured person in respect of External Congenital Diseases which are present at birth and which may or may not be inherited provided: (a) The Benefit will not pay for any OPD treatment The payment under this benefit is within the Basic Sum Insured, subject to limits specified, if any Permanent Exclusion 5(x) of the Policy Wordings stands deleted to the extent of this Benefit only.",Part Of Base SI,
57,Cosmetic Surgery,To be covered,Base SI,Base SI,"Notwithstanding anything to the contrary in the Policy it is hereby declared and agreed
that, on payment of additional premium, Exclusion Code 08 stands deleted.
For the purpose of this extension, expenses for cosmetic or plastic surgery or any
treatment to change appearance other than for reconstruction following an Accident,
Burn(s) or Cancer or as part of medically necessary treatment to remove a direct and
immediate health risk to the insured are included under the scope of cover up to the
limit specified in Policy Schedule.",Part Of Base SI,
59,Mental Illness Cover,Covered,Upto Inpatient SI,Upto Inpatient SI,,Part Of Base SI,
