1,OPD Minor Procedure,,,,,,,,,,,
,4,Stroke Resulting In Permanent Symptoms,,,,,,,,,,
,5,Implantable Cardioverter Defibrillator,,,,,,,,,,
,6,Insertion of Pacemaker,,,,,,,,,,
,8,Minimally Invasive surgery of Aorta,,,,,,,,,,
,9,Major Surgery of Aorta,,,,,,,,,,
,7,Angioplasty,,,,,,,,,,
,10,Balloon Valvotomy or Valvuloplasty,,,,,,,,,,
,11,Heart Transplant,,,,,,,,,,
,12,Primary (Idiopathic) Pulmonary Hypertension,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
9,Heart Indemnity,,,,,,,,,,,
,Sr No,Listed Illnesses,,,,,,,,,,
,1,"Coronary Artery By-Pass
Surgery ",,,,,,,,,,
,2,Heart Valve Replacement,,,,,,,,,,
,3,Heart Transplant,,,,,,,,,,
,4,"Pulmonary Artery Graft
Surgery",,,,,,,,,,
,5,Aorta Graft Surgery,,,,,,,,,,
,6,"Coronary Artery By-Pass
Surgery Post Occurrence
Of Myocardial Infraction",,,,,,,,,,
,7,"Surgical Treatment For
Stroke",,,,,,,,,,
,8,Angioplasty,,,,,,,,,,
,9,"Implantable Cardioverter
Defibrillator",,,,,,,,,,
,10,Insertion Of Pacemaker,,,,,,,,,,
,11,"Minimally Invasive Surgery
Of Aorta ",,,,,,,,,,
,12,"Balloon Valvotomy Or
Valvuloplasty",,,,,,,,,,
,13,"Surgery Of Cardiac
Arrhythmia – Rf Ablation /
Maze Procedure ",,,,,,,,,,
,14,"Surgery To Place
Ventricular Assist Devices
Or Total Artificial Hearts ",,,,,,,,,,
,15,Carotid Artery Surgery,,,,,,,,,,
,16,Pericardiectomy,,,,,,,,,,
,17,Coronary Angiography,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
10,Coverage for Specific diseases,,,,,,,,,,,
,Sr No,Listed Illnesses,,,,,,,,,,
,1,Typhoid,,,,,,,,,,
,2,Malaria,,,,,,,,,,
,3,Dengue Fever,,,,,,,,,,
,4,Tuberculosis,,,,,,,,,,
,5,Impacted Wisom Tooth,,,,,,,,,,
,6,Maternity Complication - Gestational Diabetes,,,,,,,,,,
,7,Kidney Stone,,,,,,,,,,
,8,Tetanus,,,,,,,,,,
,9,"Meningitis, Meningococcal Viral",,,,,,,,,,
,,,,,,,,,,,,
Sl no,ADULT VACCINATIONS,,,,,,,,,,,
1,Influenza        ,,,,,,,,,,,
2,Pneumonia,,,,,,,,,,,
3,Cervical Cancer ,,,,,,,,,,,
4,Hepatitis B,,,,,,,,,,,
5,Typhoid,,,,,,,,,,,
6,BCG,,,,,,,,,,,
7,OPV + IPV 1 ,,,,,,,,,,,
8,DPT,,,,,,,,,,,
9,Haemophilus influenzae type B,,,,,,,,,,,
10,Tetanus,,,,,,,,,,,
11,Rota,,,,,,,,,,,
12,MMR,,,,,,,,,,,
13,Hepatitis A,,,,,,,,,,,
,,,,,,,,,,,,
List of Monitoring / Medical Devices,,,,,,,,,,,,
1,Cardio‑Respiratory Monitoring Devices,,,,,,,,,,,
,Blood Pressure Monitor / Sphygmomanometer (Manual or Digital),,,,,,,,,,,
,Pulse Oximeter,,,,,,,,,,,
,ECG Monitoring Device (Holter / Ambulatory ECG),,,,,,,,,,,
,Cardiac Event Monitor,,,,,,,,,,,
,Portable Oxygen Concentrator,,,,,,,,,,,
,Oxygen Cylinder with regulator,,,,,,,,,,,
,CPAP / BiPAP Machine,,,,,,,,,,,
,Nebulizer (with accessories),,,,,,,,,,,
,Peak Flow Meter,,,,,,,,,,,
,"Spirometer (home‑use, where prescribed)",,,,,,,,,,,
